Number,Time
3,0.013866355999198277
6,0.013444463998894207
9,0.015887527999439044
12,0.016878225997061236
15,0.019688971999130445
18,0.01544795099835028
21,0.020249069999408675
24,0.016925112999160774
27,0.01896617999955197
30,0.025493844001175603
33,0.04567323100127396
36,0.01225667499966221
39,0.0465495850003208
42,0.013838733997545205
45,0.01343110599918873
48,0.01406768199740327
51,0.01420512899858295
54,0.014732053001353052
57,0.014572077998309396
60,0.01480694700148888
63,0.01528710599814076
66,0.016312415998982033
69,0.014993734999734443
72,0.01602548799928627
75,0.015651377998437965
78,0.015856556998187443
81,0.017089503002353013
84,0.016201275000639725
87,0.022448574000009103
90,0.016627265002171043
93,0.015513927999563748
96,0.016559599000174785
99,0.01611558500007959
102,0.016044686999521218
105,0.017121984998084372
108,0.016445132001535967
111,0.01700501600134885
114,0.016028401001676684
117,0.017179066999233328
120,0.017408494000846986
123,0.01729837399761891
126,0.016496231000928674
129,0.017212811999343103
132,0.016606760000286158
135,0.018067437998979585
138,0.017336171000351897
141,0.017980825999984518
144,0.018166909998399206
147,0.020703303001937456
150,0.018271148001076654
153,0.019348301000718493
156,0.03654592299790238
159,0.027374840999982553
162,0.020714748003229033
165,0.021580481999990297
168,0.018579679002868943
171,0.02509560199905536
174,0.01948582700060797
177,0.019352835999598028
180,0.01808863399855909
183,0.01887494800030254
186,0.018033547999948496
189,0.018640835001860978
192,0.01863366899851826
195,0.01884863999657682
198,0.018733706001512473
201,0.018151611999201123
204,0.018571505999716464
207,0.019478705999063095
210,0.01829674299733597
213,0.01923278200047207
216,0.020340678001957713
219,0.019624445001682034
222,0.034188204001111444
225,0.01938218999930541
228,0.020945186999597354
231,0.0206273069998133
234,0.019408825999562396
237,0.020272752997698262
240,0.019444671997916885
243,0.03161995700065745
246,0.01973953999913647
249,0.019077118999121012
252,0.019916495999495964
255,0.020345297998574097
258,0.020633132000511978
261,0.019928144000004977
264,0.020191267001791857
267,0.020501500999671407
270,0.021187509002629668
273,0.020225173997459933
276,0.02730587100086268
279,0.020740053998451913
282,0.02018483199935872
285,0.036524397000903264
288,0.023009398999420227
291,0.022854066999570932
294,0.022476076999737415
297,0.022021648001100402
300,0.022013199999491917
303,0.022569272998225642
306,0.026239703001920134
309,0.02621156399982283
312,0.021008777999668382
315,0.02048115199795575
318,0.02021303400033503
321,0.021438882999063935
324,0.021717012001317926
327,0.02086908300043433
330,0.021109729997988325
333,0.02119569699789281
336,0.02095736099727219
339,0.020448936000320828
342,0.022670774997095577
345,0.021396486001322046
348,0.021762314001534833
351,0.03546210300191888
354,0.020866494996880647
357,0.02242692999789142
360,0.021751178999693366
363,0.02061382299871184
366,0.0222192030014412
369,0.028335399998468347
372,0.06107904600139591
375,0.022022858996933792
378,0.021841322002728703
381,0.021790606999275042
384,0.022714451999490848
387,0.022783594999054912
390,0.023211240997625282
393,0.022394102001271676
396,0.022921964002307504
399,0.023543625000456814
402,0.022099506000813562
405,0.022369548001734074
408,0.021809770001709694
411,0.02207346299837809
414,0.025082481999561423
417,0.021517536999454023
420,0.021481206000316888
423,0.022824085001047933
426,0.023308462001295993
429,0.022964891002629884
432,0.029313475999515504
435,0.02378599499934353
438,0.023311606000788743
441,0.023349413997493684
444,0.02267446399855544
447,0.02213127200229792
450,0.022759734001738252
453,0.022276034000242362
456,0.02310938200025703
459,0.02236960799928056
462,0.022325369998725364
465,0.02878184200017131
468,0.02239266800097539
471,0.02231611599927419
474,0.0221115810018091
477,0.022469204999651993
480,0.02887666199967498
483,0.022090905000368366
486,0.022887668998009758
489,0.02798840900140931
492,0.02249532099813223
495,0.02250075600022683
498,0.02244938800140517
501,0.022449602001870517
504,0.022304542999336263
507,0.022322600001643877
510,0.02229788600016036
513,0.03715085099975113
516,0.022949884998524794
519,0.022760258998459904
522,0.024036566999711795
525,0.023022347999358317
528,0.02928341500228271
531,0.023075805002008565
534,0.022486630001367303
537,0.022938744998100447
540,0.025695240998174995
543,0.023391154998535058
546,0.032338372999220155
549,0.025926456997694913
552,0.02560114399966551
555,0.024599966000096174
558,0.02658702199914842
561,0.04116651400181581
564,0.025529729999107076
567,0.024140997000358766
570,0.024395100001129322
573,0.02458268199916347
576,0.031811535998713225
579,0.025287170999945374
582,0.024418562999926507
585,0.023252392002177658
588,0.023404261999530718
591,0.024798524002108024
594,0.02324897099970258
597,0.023961366998264566
600,0.03183766499932972
603,0.02495440499842516
606,0.026314497998100705
609,0.041329465002490906
612,0.024589373999333475
615,0.024712763999559684
618,0.02510863600036828
621,0.023576866999064805
624,0.025642720000178088
627,0.023679958998400252
630,0.023914097000670154
633,0.02443343100094353
636,0.0235114409988455
639,0.023183898996649077
642,0.023952753999765264
645,0.023656413999560755
648,0.024681775001226924
651,0.0249984050024068
654,0.03204342699973495
657,0.02438246000019717
660,0.02713827000115998
663,0.026194456997473026
666,0.02696240399745875
669,0.02723354299814673
672,0.043043527999543585
675,0.027440707002824638
678,0.0275234079999791
681,0.026865604999329662
684,0.024162713998521212
687,0.025361932999658165
690,0.02406229600092047
693,0.025662233998446027
696,0.026553405998129165
699,0.027057174000219675
702,0.025236939000023995
705,0.032730617000197526
708,0.10201021399916499
711,0.02487080699938815
714,0.026619590000336757
717,0.025474721998762107
720,0.025616578001063317
723,0.02610070699665812
726,0.024610090997157386
729,0.025897786999848904
732,0.024810161998175317
735,0.02496300199709367
738,0.026169204000325408
741,0.02527828100210172
744,0.02533910499914782
747,0.02511706699806382
750,0.027134063999255886
753,0.025697342000057688
756,0.0353026039992983
759,0.02788830200006487
762,0.027203456000279402
765,0.02805648600042332
768,0.028263280000828672
771,0.02834192900263588
774,0.026318005999200977
777,0.02772536300108186
780,0.03349860299931606
783,0.028565033000631956
786,0.02677055000094697
789,0.025561682999978075
792,0.0257081069976266
795,0.024826179000228876
798,0.025569110999640543
801,0.025078296999708982
804,0.03158849100145744
807,0.02500699899974279
810,0.026340185999288224
813,0.027010760000848677
816,0.025080874002014752
819,0.02568364399849088
822,0.026334987000154797
825,0.025466749000770506
828,0.02506048500072211
831,0.025643049000791507
834,0.026936933001707075
837,0.026913753001281293
840,0.02628023300349014
843,0.02594478800165234
846,0.027722783001081552
849,0.02663603900145972
852,0.03290697999909753
855,0.025891899000271223
858,0.025092579999181908
861,0.026234595003188588
864,0.042727731000923086
867,0.029470896999555407
870,0.026841742001124658
873,0.02944994199788198
876,0.029410753999400185
879,0.02757556299911812
882,0.027682824998919386
885,0.02656516600109171
888,0.027784267000242835
891,0.02821545999904629
894,0.029032739999820478
897,0.028263743999559665
900,0.03558634500222979
903,0.028610029999981634
906,0.028404895001585828
909,0.02927444600209128
912,0.02874881599927903
915,0.025204384000971913
918,0.02745324200077448
921,0.027735980998841114
924,0.0486538869990909
927,0.026963576001435285
930,0.0282502480004041
933,0.0262551119994896
936,0.027187481999135343
939,0.02869810099946335
942,0.026404418000311125
945,0.031101509001018712
948,0.02745949699965422
951,0.025994029998400947
954,0.026055785001517506
957,0.026400605998787796
960,0.026584775998344412
963,0.02634330499859061
966,0.027914041002077283
969,0.028676851001364412
972,0.030302218998258468
975,0.046324653001647675
978,0.030134045002341736
981,0.031540918000246165
984,0.029387274000328034
987,0.030838507998851128
990,0.03040106800108333
993,0.03840144800051348
996,0.03148338199753198
999,0.028468971999245696
1002,0.028054680999048287
1005,0.029513423000025796
1008,0.02684537800087128
1011,0.027267028999631293
1014,0.02802358300323249
1017,0.026914865000435384
1020,0.028021530000842176
1023,0.026886667001235764
1026,0.04420591299640364
1029,0.027385332999983802
1032,0.026520626997807994
1035,0.03315124599976116
1038,0.027340971999365138
1041,0.04247722999934922
1044,0.028456951997213764
1047,0.02744257300219033
1050,0.028249254999536788
1053,0.027899593998881755
1056,0.02838750899900333
1059,0.028264256001421018
1062,0.028946070997335482
1065,0.032691471998987254
1068,0.0290898869970988
1071,0.03131351899719448
1074,0.03245730399794411
1077,0.032385168997279834
1080,0.036797496999497525
1083,0.03091547499934677
1086,0.030803237001236994
1089,0.030287377998320153
1092,0.030426477998844348
1095,0.030944094000005862
1098,0.02689225200083456
1101,0.02731037400008063
1104,0.028318813998339465
