Number,Time
0,0.015102727998964838
1,0.009053818999746
2,0.01163824899958854
3,0.019163279999702354
4,0.02677477799988992
5,0.005714869999792427
6,0.0018404830007057171
7,0.0016482729988638312
8,0.027714431000276818
9,0.0021548900003836025
10,0.005079757000203244
11,0.0022454679983638925
12,0.001450056000976474
13,0.0025839350000751438
14,0.0014171139991958626
15,0.001422868999725324
16,0.001428441000825842
17,0.0016993399985949509
18,0.0016913689996727044
19,0.002234920999399037
20,0.0025047560011444148
21,0.001991495000766008
22,0.0015339760011556791
23,0.0015148910006246297
24,0.0023830660011299187
25,0.00147141500019643
26,0.002512388999093673
27,0.0016872929991222918
28,0.0014396690003195545
29,0.0019980080014647683
30,0.0014861549989291234
31,0.004840972000238253
32,0.0016376280000258703
33,0.0017656059990258655
34,0.0015502559999731602
35,0.001975921000848757
36,0.0014981290005380288
37,0.0015244919995893724
38,0.0013110709987813607
39,0.0023261649985215627
40,0.0016900970003916882
41,0.00140676400042139
42,0.0033797189989854814
43,0.001424357998985215
44,0.001840545000959537
45,0.0015580740000586957
46,0.001566240998727153
47,0.0016164280004886677
48,0.0015423240001837257
49,0.003640926001025946
50,0.0015118190003704512
51,0.025000524999995832
52,0.0015587790003337432
53,0.03516837899951497
54,0.0015731860003143083
55,0.0013544160010496853
56,0.0032534369984205114
57,0.0023791090006852755
58,0.0016181400005734758
59,0.001749914999891189
60,0.0015115520000108518
61,0.0016135379992192611
62,0.002594080000562826
63,0.0016126369991980027
64,0.0018031320014415542
65,0.0023676729997532675
66,0.0018702249999478227
67,0.0012152479994256282
68,0.001311973999690963
69,0.0011521140004333574
70,0.0018948489996546414
71,0.0017414049998478731
72,0.0019870479991368484
73,0.001833133999753045
74,0.0018702259985730052
75,0.001426496999556548
76,0.0015362089998234296
77,0.0012437120003596647
78,0.0015756480006530182
79,0.0055019459996401565
80,0.031058859000040684
81,0.0014221020010154461
82,0.0015771399994264357
83,0.0013443349998851772
84,0.001452024000172969
85,0.0015982470013113925
86,0.001746215000821394
87,0.0017475570002716267
88,0.0015629560002707876
89,0.0021118080003361683
90,0.0015868209993641358
91,0.002109852999637951
92,0.001770367998688016
93,0.02692587499950605
94,0.00207320399931632
95,0.0016171679999388289
96,0.0011507359995448496
97,0.0018822880010702647
98,0.0018491390001145191
99,0.0024963089999801014
100,0.002315760999408667
101,0.0024610609998489963
102,0.004130994000661303
103,0.017818689999330672
104,0.002054818000033265
105,0.0016540790002181893
106,0.0015584499997203238
107,0.0029550100007327273
108,0.0016277819995593745
109,0.0021842000005563023
110,0.0021762140004284447
111,0.011509908999869367
112,0.00138992599931953
113,0.001977908999833744
114,0.002615745001094183
115,0.03328027200041106
116,0.0020917080000799615
117,0.0016327039993484505
118,0.0012741419996018521
119,0.0016880330003914423
120,0.00448822900034429
121,0.005746953000198118
122,0.12177054899984796
123,0.0026465439987077843
124,0.0024047539991443045
125,0.001295916001254227
126,0.00561321000168391
127,0.0022841069985588547
128,0.0013279039994813502
129,0.022029579000445665
130,0.0023521010007243603
131,0.0019304209999972954
132,0.0020693780006695306
133,0.0016546569986530812
134,0.0013129630006005755
135,0.0018020869993051747
136,0.0019712159992195666
137,0.001637732000745018
138,0.0018246550007461337
139,0.0023447609983122675
140,0.010229233999780263
141,0.0015196089989331085
142,0.001563077001264901
143,0.0011837669990200084
144,0.001197464000142645
145,0.002188968001064495
146,0.0026367289992776932
147,0.002796288001263747
148,0.0014305829990917118
149,0.0015699430005042814
150,0.016297231000862666
151,0.015232212001137668
152,0.002312372000233154
153,0.001592094000443467
154,0.0015049470002850285
155,0.002384642000833992
156,0.0018732659991655964
157,0.0019682689999172
158,0.001397119998728158
159,0.002098019998811651
160,0.003756897000130266
161,0.0012846980007452657
162,0.0013300869995873654
163,0.0019804300009127473
164,0.0015248069994413527
165,0.0017608440011827042
166,0.002891401998567744
167,0.0014207009990059305
168,0.0012311840000620577
169,0.001303717001064797
170,0.0017270190000999719
171,0.0015951229997881455
172,0.011578031999306404
173,0.0013345729985303478
174,0.0023783249998814426
175,0.0012335539995547151
176,0.028975549999813666
177,0.0015928569991956465
178,0.025573554001312004
179,0.0011631969991867663
180,0.0023080390001268825
181,0.0019368060002307175
182,0.0018401399993308587
183,0.0018531939986132784
184,0.0018725339996308321
185,0.0016249349991994677
186,0.0015555959998891922
187,0.0013139990005583968
188,0.0013094660007482162
189,0.002207089999501477
190,0.0026543589992797934
191,0.0013925539988122182
192,0.027697457999238395
193,0.0024565690000599716
194,0.0011708649999491172
195,0.003806082000664901
196,0.0020875380014331313
197,0.002414993999991566
198,0.0013984030010760762
199,0.0015741339993837755
200,0.0017709399999148445
201,0.0017760239989002002
202,0.0016233459991781274
203,0.002205224000135786
204,0.0014404240009753266
205,0.001436881000699941
206,0.001355186001092079
207,0.0015755569984321482
208,0.0012028180008201161
209,0.002087701001073583
210,0.037259983000694774
211,0.09877655899981619
212,0.01884078100010811
213,0.0012655419996008277
214,0.010166736001337995
215,0.0023662439998588525
216,0.0015660130011383444
217,0.0011918649997824105
218,0.0011314359999232693
219,0.0013954639998701168
220,0.0012745349995384458
221,0.0012583759998960886
222,0.0012512279990914976
223,0.001911196000946802
224,0.0016470129994559102
225,0.0017336340006295359
226,0.0015623489998688456
227,0.001670988998739631
228,0.0014881750012136763
229,0.003985276000094018
230,0.026691135000874056
231,0.016324869000527542
232,0.0017810699991969159
233,0.0012000360002275556
234,0.0030336960007844027
235,0.0010922429992206162
236,0.002083796000079019
237,0.00164259500161279
238,0.0016331250008079223
239,0.0018510039990360383
240,0.001107690999560873
241,0.030100050000328338
242,0.0019360639998922125
243,0.0014903549999871757
244,0.0013686050006072037
245,0.0020166869999229675
246,0.0013809939991915599
247,0.0013476330004777992
248,0.0010296079999534413
249,0.01447570500022266
250,0.0018397439998807386
251,0.0017245030012418283
252,0.0015487979999306845
253,0.0011147900004289113
254,0.0011895489988091867
255,0.002384604998951545
256,0.00384228599978087
257,0.0018106229999830248
258,0.0015423080003529321
259,0.0019084189989371225
260,0.0016880860002856934
261,0.001590414000020246
262,0.0016828420011734124
263,0.0024676880002516555
264,0.0015534829999523936
265,0.0017471199989813613
266,0.0013240999996924074
267,0.002633678001075168
268,0.0015387920011562528
269,0.0017138009989139391
270,0.0013366549992497312
271,0.0010546970006544143
272,0.001551182000184781
273,0.002506856000763946
274,0.0030701159994350746
275,0.0012884949992439942
276,0.0014629540000896668
277,0.0020092559989279835
278,0.0014420549996430054
279,0.002790649999951711
280,0.0012686390000453684
281,0.001231598998856498
282,0.0014915160008968087
283,0.0025706379983603256
284,0.0015151410007092636
285,0.001703926000118372
286,0.0016674750004312955
287,0.0015195830001175636
288,0.04480691599928832
289,0.02976893300001393
290,0.07111099499888951
291,0.03225277499950607
292,0.010499395999431727
293,0.0016460019996884512
294,0.0021685089996026363
295,0.001706496001133928
296,0.0021719610012951307
297,0.0012200350010971306
298,0.0011548980000952724
299,0.0015421579992107581
300,0.0025362780015711905
301,0.006493658998806495
302,0.0015881460003583925
303,0.0013749539994023507
304,0.0014715810011693975
305,0.001209784000820946
306,0.0018722830009210156
307,0.023273389000678435
308,0.0012366209994070232
309,0.0013435359996947227
310,0.001179314000182785
311,0.0017029390000971034
312,0.0015605030002916465
313,0.02754763300072227
314,0.0016556529990339186
315,0.002157253000405035
316,0.0015182549996097805
317,0.0017645970001467504
318,0.0015973630015650997
319,0.0027042180008720607
320,0.0012652630011871224
321,0.0019877100003213855
322,0.0014659890002803877
323,0.0020662949991674395
324,0.0015934550010570092
325,0.001669153998591355
326,0.0013611960002890555
327,0.0015342140013672179
328,0.0015094230002432596
329,0.002103458000419778
330,0.0015534250014752615
331,0.0014354809991345974
332,0.0012444139993021963
333,0.001431908998711151
334,0.001612850999663351
335,0.021930120999968494
336,0.09697227200013003
337,0.11407059799967101
338,0.030319150000650552
339,0.0022965780008235015
340,0.0020428490006452193
341,0.001549392998640542
342,0.002250782001283369
343,0.0013451830000121845
344,0.0017771319999155821
345,0.00174879399855854
346,0.0012355119997664588
347,0.001595787000042037
348,0.0019480440005281707
349,0.0024819190002745017
350,0.012313459999859333
351,0.003058541999052977
352,0.00146738799958257
353,0.0023815960012143478
354,0.0025826889996096725
355,0.0014670230011688545
356,0.0019832470006804215
357,0.00193564300025173
358,0.001809448000130942
359,0.0018560999997134786
360,0.00165366900000663
361,0.0016562379987590248
362,0.0014342940012284089
363,0.0018807959986588685
364,0.0037477899986697594
365,0.0023856949992477894
366,0.01160287399943627
367,0.002072520999718108
368,0.002418271000351524
369,0.001413301999491523
370,0.0012753000009979587
371,0.0019506749995343853
372,0.0018638889996509533
373,0.0016017559992178576
374,0.0015523050005867844
375,0.0014092220008024015
376,0.0017305670007772278
377,0.001181756000733003
378,0.002939813999546459
379,0.001333440999587765
380,0.0019398470012674807
381,0.001723089000734035
382,0.0016266450002149213
383,0.0014054660005058395
384,0.001391227999192779
385,0.0017340419999527512
386,0.001455052000892465
387,0.0013233030003902968
388,0.0010361910008214181
389,0.001425773998562363
390,0.0018889610000769608
391,0.001707491999695776
392,0.021398204000433907
393,0.0015149649989325553
394,0.0015862590007600375
395,0.0017367420005029999
396,0.0015195450014289236
397,0.0015539139985776274
398,0.0023342899985436816
399,0.0026924779995169956
400,0.0017438759987271624
401,0.00599301900001592
402,0.0020919679991493467
403,0.0018131070009985706
404,0.002635570999700576
405,0.0022460949985543266
406,0.0017295429988735123
407,0.014314694999484345
408,0.0023390350015688455
409,0.0015719919992989162
410,0.0011338819986121962
411,0.0013180559999455
412,0.0014056700001674471
413,0.0012067309999110876
414,0.0016100859993457561
415,0.0017664679999143118
416,0.0013676629987458
417,0.0016624909985694103
418,0.0023364299995591864
419,0.001806837999538402
420,0.030416322999371914
421,0.022940709000977222
422,0.00330543900054181
423,0.00302106500021182
424,0.0022178519993758528
425,0.0013828600003762404
426,0.0019121289988106582
427,0.0018660480000107782
428,0.0015118440005608136
429,0.0013458159992296714
430,0.0016725360001146328
431,0.0017455750003136927
432,0.0016520869994565146
433,0.0024034809994191164
434,0.0016404720008722506
435,0.0014167899989843136
436,0.002318500000910717
437,0.0016222560007008724
438,0.0017108230003941571
439,0.0013336529991647694
440,0.0019390149991522776
441,0.0010007359996961895
442,0.0013584479984274367
443,0.0020866260001639603
444,0.0015551540000160458
445,0.0012761100006173365
446,0.0020378279987198766
447,0.0014056430009077303
448,0.001472325000577257
449,0.0015563529996143188
450,0.001438827999663772
451,0.0011840379993373062
452,0.0014993919994594762
453,0.0032738139998400584
454,0.0017866079997475026
455,0.0017275240006711101
456,0.0013602929993794532
457,0.030421503999605193
458,0.0022159999989526113
459,0.01424412499909522
460,0.0015325539989134995
461,0.015582538000671775
462,0.00145134199919994
463,0.0012559309998323442
464,0.002899832999901264
465,0.0017811510006140452
466,0.001499476000390132
467,0.0016362410005967831
468,0.0016313809992425377
469,0.0012645509996218607
470,0.0012028929995722137
471,0.0019646370001282776
472,0.0017689230007817969
473,0.0013067210002191132
474,0.025108817000727868
475,0.0010862480012292508
476,0.001558826999826124
477,0.0018217860015283804
478,0.0038859190008224687
479,0.0015123269986361265
480,0.022675726000670693
481,0.0018170969997299835
482,0.0017614039988984587
483,0.0014876860004733317
484,0.15910311000152433
485,0.0022506679997604806
486,0.008773692999966443
487,0.13428079600089404
488,0.002126305000274442
489,0.0699030510004377
490,0.02512097999897378
491,0.13147212600051716
492,0.0014591199997084914
493,0.0015804399990884122
494,0.0015093010006239638
495,0.001741029000186245
496,0.002059504000499146
497,0.0012258299993845867
498,0.0013370180004130816
499,0.005292546000418952
500,0.005465918000481906
501,0.0015860420007811626
502,0.0018163209988415474
503,0.0015828939995117253
504,0.0014908499997545732
505,0.0013521090004360303
506,0.03422841800056631
507,0.001905085999169387
508,0.002038933000221732
509,0.0019334839998919051
510,0.0017903050011227606
511,0.019048388001465355
512,0.0014011620005476288
513,0.0013102240009175148
514,0.0026467659990885295
515,0.0018495280000934144
516,0.002064108999547898
517,0.003753807999601122
518,0.011178083999766386
519,0.0019159170005877968
520,0.0023424789997079642
521,0.0014853760003461502
522,0.02871727700039628
523,0.00463368200144032
524,0.001998285000809119
525,0.0012532619984995108
526,0.0017234530005225679
527,0.0022442330009653233
528,0.001543112000945257
529,0.0014770509988011327
530,0.0012791860008292133
531,0.0014108340001257602
532,0.0015637510005035438
533,0.002230381998742814
534,0.002014301999224699
535,0.0013289880007505417
536,0.0015972589990269626
537,0.001246963998710271
538,0.002237242000774131
539,0.0013812150009471225
540,0.001810273000955931
541,0.001736067000820185
542,0.0013861070001439657
543,0.0014233740002964623
544,0.0023664680011279415
545,0.0018764390006253961
546,0.0024820679991535144
547,0.0014542220014845952
548,0.001273531001061201
549,0.002296222999575548
550,0.002241287000288139
551,0.002211093998994329
552,0.0020892900010949234
553,0.0016402000001107808
554,0.002028317001531832
555,0.004912946000331431
556,0.0014972230001149
557,0.0015013320007710718
558,0.0016366069994546706
559,0.0019846420000249054
560,0.0015840420001040911
561,0.0013710420007555513
562,0.001209080999615253
563,0.001969766000911477
564,0.0025338199993711896
565,0.0015971770008036401
566,0.0018142530007025925
567,0.0014330859994515777
568,0.0017569819992786506
569,0.0018371409987594234
570,0.0017389089989592321
571,0.001805126999897766
572,0.0019060600006923778
573,0.0019076259995927103
574,0.001704176000203006
575,0.0024605489998066332
576,0.0018944139992527198
577,0.0017836290007835487
578,0.0017511550013296073
579,0.0013812039996992098
580,0.0019369709989405237
581,0.0022931769999559037
582,0.001960911999049131
583,0.0020565340000757715
584,0.00267022700063535
585,0.0017469129998062272
586,0.0017067459993995726
587,0.0012298700003157137
588,0.0020827389998885337
589,0.002804452000418678
590,0.001538290000098641
591,0.0011042280002584448
592,0.011415695000323467
593,0.001849893998951302
594,0.00207408700043743
595,0.0016428170001745457
596,0.021869029998924816
597,0.0016812899993965402
598,0.0021153859997866675
599,0.013816925998980878
600,0.0021506550001504365
601,0.0017313920016022166
602,0.001801693999368581
603,0.0022719080006936565
604,0.0017298790007771458
605,0.001467861000492121
606,0.0015261040007317206
607,0.0014481310008704895
608,0.032515554999918095
609,0.00138567500107456
610,0.0017984410005738027
611,0.001994432999708806
612,0.0014667349987576017
613,0.0019280689994047862
614,0.001726844000586425
615,0.0014046510004845913
616,0.0012644719990930753
617,0.001486245999331004
618,0.002548086000388139
619,0.0018823439986590529
620,0.0015450350001628976
621,0.0013188859993533697
622,0.02319524300037301
623,0.0015310660000977805
624,0.0020263349997549085
625,0.0013036510008532787
626,0.0016985950005619088
627,0.0022335040011967067
628,0.002361736000239034
629,0.0012823209999623941
630,0.0013216530005593086
631,0.002086571999825537
632,0.00126794800053176
633,0.0022305499987851363
634,0.0015807799991307547
635,0.0020545179995679064
636,0.0020030199993925635
637,0.032210769999437616
638,0.002544889999626321
639,0.0015556510006717872
640,0.002804200999889872
641,0.0014341480000439333
642,0.0013944100010121474
643,0.0020913409989589127
644,0.0015905069994914811
645,0.001525076000689296
646,0.0021316539987310534
647,0.0014182100003381493
648,0.001180233000923181
649,0.002802958999382099
650,0.001677862001088215
651,0.0017557629998918856
652,0.002690990999326459
653,0.0016986219998216256
654,0.0016099229997053044
655,0.0013892129991290858
656,0.0020410200013429858
657,0.0025133460003416985
